Sort Type,List Size,Counter #,Execution Time (s)
Insertion,1000,249809,0.025616884231567383
Insertion,1000,249350,0.025004148483276367
Insertion,1000,248252,0.039098501205444336
Insertion,1000,249213,0.046772003173828125
Insertion,1000,253510,0.03588294982910156
Insertion,1000,257022,0.03798818588256836
Insertion,1000,240246,0.026764869689941406
Insertion,1000,251076,0.04364633560180664
Insertion,1000,250192,0.0466001033782959
Insertion,1000,251014,0.0420374870300293
Insertion,2000,1017611,0.1798839569091797
Insertion,2000,1005633,0.15129899978637695
Insertion,2000,1036495,0.17863774299621582
Insertion,2000,1009998,0.10670781135559082
Insertion,2000,1006154,0.10637116432189941
Insertion,2000,974852,0.16604852676391602
Insertion,2000,982407,0.17382144927978516
Insertion,2000,1004136,0.17110896110534668
Insertion,2000,1018144,0.17632365226745605
Insertion,2000,1004746,0.17789173126220703
Insertion,3000,2240341,0.39037418365478516
Insertion,3000,2265262,0.32332515716552734
Insertion,3000,2246550,0.300997257232666
Insertion,3000,2203821,0.3057541847229004
Insertion,3000,2248461,0.39905333518981934
Insertion,3000,2265989,0.3850245475769043
Insertion,3000,2269940,0.3994636535644531
Insertion,3000,2252853,0.3811652660369873
Insertion,3000,2249659,0.40268564224243164
Insertion,3000,2248257,0.44750332832336426
Insertion,4000,4065388,0.7208847999572754
Insertion,4000,3996385,0.5870339870452881
Insertion,4000,4019847,0.7703938484191895
Insertion,4000,4003972,0.6585524082183838
Insertion,4000,4082027,0.7304158210754395
Insertion,4000,4096832,0.6618146896362305
Insertion,4000,4005281,0.4538838863372803
Insertion,4000,3976716,0.6096222400665283
Insertion,4000,3992026,0.7705345153808594
Insertion,4000,4037746,0.7727866172790527
Insertion,5000,6231810,1.0690679550170898
Insertion,5000,6203162,1.0188264846801758
Insertion,5000,6336080,1.0814282894134521
Insertion,5000,6358411,1.1429553031921387
Insertion,5000,6259881,0.9498481750488281
Insertion,5000,6346403,1.1711900234222412
Insertion,5000,6258580,0.9221999645233154
Insertion,5000,6217358,1.1858081817626953
Insertion,5000,6251529,0.9620785713195801
Insertion,5000,6370957,0.8735952377319336
Insertion,6000,8927313,1.3072073459625244
Insertion,6000,9013185,1.5432627201080322
Insertion,6000,9107869,1.561692476272583
Insertion,6000,8926347,1.4978022575378418
Insertion,6000,9101591,1.5279991626739502
Insertion,6000,9021234,1.687222957611084
Insertion,6000,9018070,1.5924253463745117
Insertion,6000,9009092,1.5452063083648682
Insertion,6000,9080368,1.4544689655303955
Insertion,6000,8942595,1.5229160785675049
Insertion,7000,12242967,1.9036779403686523
Insertion,7000,12300866,1.854612112045288
Insertion,7000,12293559,2.0358822345733643
Insertion,7000,12196773,1.7927913665771484
Insertion,7000,12222557,2.0869569778442383
Insertion,7000,12067835,1.6778068542480469
Insertion,7000,12402168,1.9974792003631592
Insertion,7000,12180690,1.987593650817871
Insertion,7000,12247553,2.1149308681488037
Insertion,7000,12198793,2.1324563026428223
