Sort Type,List Size,Counter #,Execution Time (s)
Insertion,1000,250012,0.034792184829711914
Insertion,1000,243285,0.04687380790710449
Insertion,1000,253527,0.04688000679016113
Insertion,1000,244717,0.04687905311584473
Insertion,1000,254986,0.046880483627319336
Insertion,1000,251526,0.05320024490356445
Insertion,1000,246941,0.060075998306274414
Insertion,1000,246777,0.0516047477722168
Insertion,1000,253409,0.04687309265136719
Insertion,1000,255491,0.033487558364868164
Insertion,2000,1022729,0.20311570167541504
Insertion,2000,990666,0.20742392539978027
Insertion,2000,1002702,0.16660690307617188
Insertion,2000,980969,0.17665386199951172
Insertion,2000,991449,0.16241049766540527
Insertion,2000,1002002,0.17675471305847168
Insertion,2000,1003139,0.20802855491638184
Insertion,2000,1011748,0.20218229293823242
Insertion,2000,1001575,0.19124889373779297
Insertion,2000,977656,0.14337468147277832
Insertion,3000,2229495,0.3819711208343506
Insertion,3000,2263832,0.4307422637939453
Insertion,3000,2266397,0.408494234085083
Insertion,3000,2251909,0.4307067394256592
Insertion,3000,2324774,0.40721607208251953
Insertion,3000,2281678,0.38476085662841797
Insertion,3000,2269303,0.39067745208740234
Insertion,3000,2269865,0.3603699207305908
Insertion,3000,2245156,0.34595680236816406
Insertion,3000,2260475,0.35937952995300293
Insertion,4000,3971896,0.6630821228027344
Insertion,4000,3967921,0.648292064666748
Insertion,4000,4033637,0.6381347179412842
Insertion,4000,3944382,0.6685788631439209
Insertion,4000,4027306,0.6854615211486816
Insertion,4000,3995945,0.6574440002441406
Insertion,4000,4112681,0.6704990863800049
Insertion,4000,3942075,0.712296724319458
Insertion,4000,4043977,0.7142019271850586
Insertion,4000,3963644,0.627112865447998
Insertion,5000,6218864,0.9706330299377441
Insertion,5000,6288614,0.9873299598693848
Insertion,5000,6260650,0.9869334697723389
Insertion,5000,6194599,0.9883842468261719
Insertion,5000,6378806,0.9876675605773926
Insertion,5000,6259155,1.003873348236084
Insertion,5000,6271349,1.0197372436523438
Insertion,5000,6188710,0.9729256629943848
Insertion,5000,6241361,1.002486228942871
Insertion,5000,6286044,0.9870326519012451
Insertion,6000,8999556,1.6061279773712158
Insertion,6000,9004290,1.5852084159851074
Insertion,6000,8936201,1.5893075466156006
Insertion,6000,9023563,1.551497220993042
Insertion,6000,9045064,1.6000618934631348
Insertion,6000,8955994,1.509904146194458
Insertion,6000,9115145,1.6325008869171143
Insertion,6000,8929976,1.5219035148620605
Insertion,6000,9041119,1.6015074253082275
Insertion,6000,8940558,1.5386395454406738
Insertion,7000,12155958,1.9168918132781982
Insertion,7000,12190881,1.9733121395111084
Insertion,7000,12207166,1.9287800788879395
Insertion,7000,12218938,1.9173953533172607
Insertion,7000,12295554,2.0055954456329346
Insertion,7000,12288941,1.992147445678711
Insertion,7000,12315939,2.006753921508789
Insertion,7000,12289085,2.0847575664520264
Insertion,7000,12315651,2.007385015487671
Insertion,7000,12190360,2.023381471633911
