Sort Type,List Size,Counter #,Execution Time (s)
Merge,1000,11648,0.002997875213623047
Merge,1000,11685,0.002208232879638672
Merge,1000,11691,0.0015478134155273438
Merge,1000,11694,0.002430438995361328
Merge,1000,11727,0.002877473831176758
Merge,1000,11701,0.003068685531616211
Merge,1000,11705,0.0036344528198242188
Merge,1000,11707,0.003034830093383789
Merge,1000,11700,0.0029044151306152344
Merge,1000,11694,0.0030007362365722656
Merge,2000,25446,0.003999948501586914
Merge,2000,25385,0.004000663757324219
Merge,2000,25356,0.006085872650146484
Merge,2000,25379,0.004079580307006836
Merge,2000,25367,0.003997087478637695
Merge,2000,25429,0.004044532775878906
Merge,2000,25382,0.0029134750366210938
Merge,2000,25390,0.005090951919555664
Merge,2000,25395,0.00599980354309082
Merge,2000,25366,0.006611824035644531
Merge,3000,39906,0.010030269622802734
Merge,3000,39897,0.009513139724731445
Merge,3000,39913,0.007091999053955078
Merge,3000,39898,0.006071567535400391
Merge,3000,39952,0.008999109268188477
Merge,3000,39918,0.008936405181884766
Merge,3000,39910,0.009081125259399414
Merge,3000,39926,0.005898475646972656
Merge,3000,39904,0.00890207290649414
Merge,3000,39918,0.009078264236450195
Merge,4000,54834,0.012518167495727539
Merge,4000,54790,0.01307821273803711
Merge,4000,54836,0.012088298797607422
Merge,4000,54802,0.008013248443603516
Merge,4000,54799,0.007998943328857422
Merge,4000,54791,0.011909961700439453
Merge,4000,54827,0.014206171035766602
Merge,4000,54788,0.00799870491027832
Merge,4000,54863,0.006998300552368164
Merge,4000,54836,0.012072563171386719
Merge,5000,70265,0.014999866485595703
Merge,5000,70231,0.01298832893371582
Merge,5000,70257,0.009999990463256836
Merge,5000,70202,0.009999513626098633
Merge,5000,70157,0.015083074569702148
Merge,5000,70221,0.009999752044677734
Merge,5000,70226,0.009999513626098633
Merge,5000,70255,0.00909113883972168
Merge,5000,70278,0.01600027084350586
Merge,5000,70208,0.016628026962280273
Merge,6000,85792,0.011985063552856445
Merge,6000,85844,0.020999670028686523
Merge,6000,85776,0.019999980926513672
Merge,6000,85740,0.013032913208007812
Merge,6000,85853,0.021065711975097656
Merge,6000,85859,0.02084493637084961
Merge,6000,85761,0.013094425201416016
Merge,6000,85864,0.01299595832824707
Merge,6000,85822,0.019998550415039062
Merge,6000,85860,0.011999368667602539
Merge,7000,101625,0.015982389450073242
Merge,7000,101682,0.02306365966796875
Merge,7000,101645,0.025092601776123047
Merge,7000,101723,0.023999929428100586
Merge,7000,101678,0.024136066436767578
Merge,7000,101686,0.014987945556640625
Merge,7000,101651,0.022983551025390625
Merge,7000,101657,0.0149993896484375
Merge,7000,101640,0.02500009536743164
Merge,7000,101642,0.023077011108398438
