Sort Type,List Size,Counter #,Execution Time (s)
Selection,1000,994,0.025620460510253906
Selection,1000,991,0.015436410903930664
Selection,1000,993,0.025849342346191406
Selection,1000,993,0.02505350112915039
Selection,1000,989,0.023684978485107422
Selection,1000,995,0.018146514892578125
Selection,1000,987,0.023139238357543945
Selection,1000,995,0.021044254302978516
Selection,1000,995,0.013998270034790039
Selection,1000,995,0.01399850845336914
Selection,2000,1992,0.05699777603149414
Selection,2000,1996,0.10748863220214844
Selection,2000,1994,0.05504965782165527
Selection,2000,1989,0.05524325370788574
Selection,2000,1990,0.05399799346923828
Selection,2000,1990,0.09056687355041504
Selection,2000,1996,0.09108090400695801
Selection,2000,1990,0.09174561500549316
Selection,2000,1995,0.09410452842712402
Selection,2000,1991,0.08904719352722168
Selection,3000,2988,0.22211933135986328
Selection,3000,2991,0.1724095344543457
Selection,3000,2990,0.12954163551330566
Selection,3000,2993,0.20679664611816406
Selection,3000,2993,0.1528301239013672
Selection,3000,2988,0.19922232627868652
Selection,3000,2989,0.12399816513061523
Selection,3000,2992,0.20007753372192383
Selection,3000,2990,0.1909809112548828
Selection,3000,2990,0.199981689453125
Selection,4000,3992,0.34149646759033203
Selection,4000,3991,0.3468194007873535
Selection,4000,3995,0.24433064460754395
Selection,4000,3987,0.33124566078186035
Selection,4000,3992,0.35425424575805664
Selection,4000,3992,0.25785064697265625
Selection,4000,3989,0.2145063877105713
Selection,4000,3993,0.3224670886993408
Selection,4000,3989,0.3449432849884033
Selection,4000,3988,0.35209155082702637
Selection,5000,4990,0.6507599353790283
Selection,5000,4991,0.3506627082824707
Selection,5000,4994,0.4159212112426758
Selection,5000,4992,0.46069788932800293
Selection,5000,4991,0.5156688690185547
Selection,5000,4994,0.5523865222930908
Selection,5000,4988,0.3470032215118408
Selection,5000,4994,0.555295467376709
Selection,5000,4990,0.5592434406280518
Selection,5000,4993,0.34436535835266113
Selection,6000,5991,0.6212542057037354
Selection,6000,5995,0.9216639995574951
Selection,6000,5993,0.859229564666748
Selection,6000,5988,0.6678416728973389
Selection,6000,5993,0.9127399921417236
Selection,6000,5992,0.8321716785430908
Selection,6000,5984,0.7141611576080322
Selection,6000,5987,0.5965039730072021
Selection,6000,5990,0.8089816570281982
Selection,6000,5992,0.6401617527008057
Selection,7000,6986,1.0342028141021729
Selection,7000,6992,1.1636121273040771
Selection,7000,6988,0.9838540554046631
Selection,7000,6990,1.1555798053741455
Selection,7000,6984,1.0509891510009766
Selection,7000,6986,1.159924030303955
Selection,7000,6989,0.7790944576263428
Selection,7000,6991,1.1602859497070312
Selection,7000,6986,1.1592223644256592
Selection,7000,6993,1.1171228885650635
