Sort Type,List Size,Counter #,Execution Time (s)
Quick,1000,13950,0.008739233016967773
Quick,1000,17572,0.0009980201721191406
Quick,1000,14594,0.020552396774291992
Quick,1000,14672,0.007989883422851562
Quick,1000,15414,0.0059967041015625
Quick,1000,16350,0.0
Quick,1000,15954,0.0029997825622558594
Quick,1000,13996,0.008379459381103516
Quick,1000,15524,0.015001535415649414
Quick,1000,15142,0.0009853839874267578
Quick,2000,35702,0.03817415237426758
Quick,2000,31968,0.012979984283447266
Quick,2000,37064,0.051969051361083984
Quick,2000,32608,0.019669771194458008
Quick,2000,31558,0.02549123764038086
Quick,2000,38280,0.03297567367553711
Quick,2000,32608,0.02277207374572754
Quick,2000,32052,0.033260345458984375
Quick,2000,32420,0.0368044376373291
Quick,2000,34132,0.06114506721496582
Quick,3000,54200,0.038825035095214844
Quick,3000,53540,0.025977134704589844
Quick,3000,53174,0.05601382255554199
Quick,3000,53774,0.034394025802612305
Quick,3000,53034,0.037146806716918945
Quick,3000,49530,0.03604483604431152
Quick,3000,53056,0.0509798526763916
Quick,3000,54794,0.053026676177978516
Quick,3000,53680,0.018418073654174805
Quick,3000,52198,0.027517080307006836
Quick,4000,72718,0.03887772560119629
Quick,4000,74556,0.03299665451049805
Quick,4000,71206,0.09281682968139648
Quick,4000,75370,0.13287067413330078
Quick,4000,71502,0.056816816329956055
Quick,4000,71646,0.0719459056854248
Quick,4000,76974,0.04571056365966797
Quick,4000,74506,0.04003405570983887
Quick,4000,73374,0.04388117790222168
Quick,4000,72942,0.07814407348632812
Quick,5000,94944,0.05087614059448242
Quick,5000,95172,0.17746901512145996
Quick,5000,102298,0.0827641487121582
Quick,5000,94354,0.07615947723388672
Quick,5000,96208,0.09002232551574707
Quick,5000,93058,0.07302641868591309
Quick,5000,97288,0.06988811492919922
Quick,5000,89946,0.07581949234008789
Quick,5000,93472,0.09609842300415039
Quick,5000,109484,0.05693864822387695
Quick,6000,115876,0.04741072654724121
Quick,6000,118342,0.10373568534851074
Quick,6000,120066,0.1082155704498291
Quick,6000,118334,0.10201811790466309
Quick,6000,114696,0.09712862968444824
Quick,6000,122674,0.1552727222442627
Quick,6000,116290,0.11655902862548828
Quick,6000,112608,0.07660651206970215
Quick,6000,112238,0.08200526237487793
Quick,6000,119882,0.11226868629455566
Quick,7000,148214,0.10367536544799805
Quick,7000,137650,0.1100015640258789
Quick,7000,144348,0.10199666023254395
Quick,7000,135264,0.0637960433959961
Quick,7000,139074,0.1267094612121582
Quick,7000,136484,0.0780787467956543
Quick,7000,132180,0.09091567993164062
Quick,7000,143634,0.08515286445617676
Quick,7000,139956,0.07499384880065918
Quick,7000,155996,0.29576921463012695
