Sort Type,List Size,Counter #,Execution Time (s)
Quick,1000,14128,0.007541179656982422
Quick,1000,13848,0.019984960556030273
Quick,1000,15266,0.014049053192138672
Quick,1000,13788,0.005945682525634766
Quick,1000,14222,0.009252071380615234
Quick,1000,14662,0.007092952728271484
Quick,1000,14190,0.0021524429321289062
Quick,1000,15638,0.007148027420043945
Quick,1000,15344,0.008392572402954102
Quick,1000,16148,0.012004852294921875
Quick,2000,33262,0.027970314025878906
Quick,2000,32072,0.022997140884399414
Quick,2000,34000,0.03742694854736328
Quick,2000,34788,0.01340484619140625
Quick,2000,31960,0.020984888076782227
Quick,2000,37692,0.020994901657104492
Quick,2000,31962,0.020962953567504883
Quick,2000,34708,0.02837371826171875
Quick,2000,36974,0.030005455017089844
Quick,2000,32434,0.03516340255737305
Quick,3000,54170,0.054305076599121094
Quick,3000,53318,0.026671886444091797
Quick,3000,53816,0.03813982009887695
Quick,3000,57882,0.047426700592041016
Quick,3000,53912,0.04732847213745117
Quick,3000,52766,0.03479933738708496
Quick,3000,56976,0.0452878475189209
Quick,3000,55518,0.028003692626953125
Quick,3000,58574,0.030991077423095703
Quick,3000,54150,0.041350603103637695
Quick,4000,81206,0.06035900115966797
Quick,4000,77866,0.06529045104980469
Quick,4000,72760,0.04591250419616699
Quick,4000,72280,0.03276634216308594
Quick,4000,75340,0.04799795150756836
Quick,4000,77138,0.06673550605773926
Quick,4000,75166,0.07219958305358887
Quick,4000,75224,0.021992206573486328
Quick,4000,73832,0.038990020751953125
Quick,4000,80626,0.08257198333740234
Quick,5000,93908,0.0709998607635498
Quick,5000,97628,0.04977846145629883
Quick,5000,95088,0.05248284339904785
Quick,5000,101830,0.08811712265014648
Quick,5000,102042,0.09482455253601074
Quick,5000,97408,0.04809284210205078
Quick,5000,108964,0.06598138809204102
Quick,5000,104518,0.03975820541381836
Quick,5000,91628,0.08127069473266602
Quick,5000,92998,0.06718301773071289
Quick,6000,114710,0.05754518508911133
Quick,6000,116420,0.0789954662322998
Quick,6000,120962,0.08719158172607422
Quick,6000,113552,0.0414578914642334
Quick,6000,118168,0.08153653144836426
Quick,6000,109490,0.06017041206359863
Quick,6000,121102,0.07477045059204102
Quick,6000,117222,0.0680079460144043
Quick,6000,122064,0.10199642181396484
Quick,6000,113026,0.08197736740112305
Quick,7000,140796,0.0799717903137207
Quick,7000,134850,0.1025998592376709
Quick,7000,141764,0.13414430618286133
Quick,7000,143200,0.12497949600219727
Quick,7000,138256,0.1409909725189209
Quick,7000,142508,0.10184073448181152
Quick,7000,143360,0.11530160903930664
Quick,7000,145014,0.0969994068145752
Quick,7000,148212,0.1419980525970459
Quick,7000,133770,0.11204218864440918
