Sort Type,List Size,Counter #,Execution Time (s)
Merge,1000,11663,0.0020880699157714844
Quick,1000,13720,0.011892557144165039
Insertion,1000,248007,0.040627241134643555
Selection,1000,993,0.025429487228393555
Merge,1000,11673,0.003676176071166992
Quick,1000,15236,0.014567375183105469
Insertion,1000,244529,0.04657149314880371
Selection,1000,988,0.024827957153320312
Merge,1000,11722,0.003993034362792969
Quick,1000,15376,0.003003358840942383
Insertion,1000,246043,0.04540061950683594
Selection,1000,995,0.024464845657348633
Merge,1000,11716,0.002083301544189453
Quick,1000,15076,0.002063274383544922
Insertion,1000,247419,0.04405355453491211
Selection,1000,994,0.024022340774536133
Merge,1000,11713,0.0019822120666503906
Quick,1000,15966,0.0173647403717041
Insertion,1000,249082,0.040097951889038086
Selection,1000,993,0.01817178726196289
Merge,1000,11735,0.0029859542846679688
Quick,1000,15374,0.01299595832824707
Insertion,1000,249771,0.042003631591796875
Selection,1000,988,0.01399993896484375
Merge,1000,11703,0.002000093460083008
Quick,1000,14940,0.0
Insertion,1000,242858,0.04024767875671387
Selection,1000,994,0.023830652236938477
Merge,1000,11692,0.003000020980834961
Quick,1000,15526,0.02299642562866211
Insertion,1000,251037,0.04633164405822754
Selection,1000,993,0.023915529251098633
Merge,1000,11721,0.002973318099975586
Quick,1000,14148,0.011064767837524414
Insertion,1000,251319,0.043909549713134766
Selection,1000,986,0.022348880767822266
Merge,1000,11709,0.00299835205078125
Quick,1000,13582,0.0009999275207519531
Insertion,1000,247109,0.026000261306762695
Selection,1000,995,0.01700139045715332
Merge,2000,25431,0.006001472473144531
Quick,2000,36410,0.023981571197509766
Insertion,2000,993852,0.1767587661743164
Selection,2000,1989,0.08700060844421387
Merge,2000,25364,0.006010770797729492
Quick,2000,34192,0.038904666900634766
Insertion,2000,985922,0.17425298690795898
Selection,2000,1991,0.08899664878845215
Merge,2000,25418,0.005081653594970703
Quick,2000,35434,0.0280914306640625
Insertion,2000,982920,0.16978740692138672
Selection,2000,1994,0.07224488258361816
Merge,2000,25397,0.003088712692260742
Quick,2000,37318,0.022853612899780273
Insertion,2000,997879,0.10100817680358887
Selection,2000,1991,0.053421735763549805
Merge,2000,25420,0.0039033889770507812
Quick,2000,37430,0.008135318756103516
Insertion,2000,1004406,0.10701298713684082
Selection,2000,1992,0.05494236946105957
Merge,2000,25412,0.005662679672241211
Quick,2000,36972,0.03904247283935547
Insertion,2000,987377,0.1739037036895752
Selection,2000,1989,0.06631946563720703
Merge,2000,25389,0.004060268402099609
Quick,2000,32930,0.021892547607421875
Insertion,2000,996594,0.10643291473388672
Selection,2000,1990,0.053992271423339844
Merge,2000,25393,0.0030694007873535156
Quick,2000,33866,0.00500798225402832
Insertion,2000,982778,0.10308504104614258
Selection,2000,1993,0.0540008544921875
Merge,2000,25425,0.003030061721801758
Quick,2000,34010,0.01716899871826172
Insertion,2000,1008261,0.1716771125793457
Selection,2000,1990,0.06007885932922363
Merge,2000,25454,0.004003286361694336
Quick,2000,31124,0.01997995376586914
Insertion,2000,1003492,0.10296273231506348
Selection,2000,1993,0.054955482482910156
Merge,3000,39921,0.0059359073638916016
Quick,3000,61176,0.01611328125
Insertion,3000,2266130,0.24599480628967285
Selection,3000,2993,0.12224245071411133
Merge,3000,39968,0.0064678192138671875
Quick,3000,53850,0.038049936294555664
Insertion,3000,2231347,0.41635704040527344
Selection,3000,2993,0.19625473022460938
Merge,3000,39935,0.008997678756713867
Quick,3000,53540,0.0480043888092041
Insertion,3000,2269980,0.410520076751709
Selection,3000,2989,0.1983318328857422
Merge,3000,39907,0.009004592895507812
Quick,3000,50866,0.029911518096923828
Insertion,3000,2294088,0.4191141128540039
Selection,3000,2990,0.19500088691711426
Merge,3000,39936,0.009141921997070312
Quick,3000,50822,0.028153419494628906
Insertion,3000,2273219,0.41501855850219727
Selection,3000,2991,0.20557403564453125
Merge,3000,39950,0.009083986282348633
Quick,3000,53762,0.03095698356628418
Insertion,3000,2242948,0.42537474632263184
Selection,3000,2990,0.17569208145141602
Merge,3000,39908,0.005046367645263672
Quick,3000,54188,0.030005931854248047
Insertion,3000,2238420,0.2773759365081787
Selection,3000,2992,0.14769697189331055
Merge,3000,40001,0.005993366241455078
Quick,3000,53390,0.01759505271911621
Insertion,3000,2293259,0.2503986358642578
Selection,3000,2991,0.1260058879852295
Merge,3000,39937,0.006079673767089844
Quick,3000,51970,0.012117385864257812
Insertion,3000,2287601,0.38738584518432617
Selection,3000,2990,0.14808964729309082
Merge,3000,39879,0.007991552352905273
Quick,3000,53094,0.04794025421142578
Insertion,3000,2174911,0.3933279514312744
Selection,3000,2989,0.20800161361694336
Merge,4000,54816,0.01199793815612793
Quick,4000,73288,0.07898330688476562
Insertion,4000,4020676,0.6877069473266602
Selection,4000,3990,0.3460829257965088
Merge,4000,54816,0.011996746063232422
Quick,4000,71888,0.05572628974914551
Insertion,4000,3935174,0.6656408309936523
Selection,4000,3991,0.3635592460632324
Merge,4000,54846,0.012006759643554688
Quick,4000,74576,0.04908394813537598
Insertion,4000,3981888,0.4606187343597412
Selection,4000,3993,0.22208786010742188
Merge,4000,54871,0.008970022201538086
Quick,4000,75380,0.044814109802246094
Insertion,4000,4090323,0.5407843589782715
Selection,4000,3991,0.3453998565673828
Merge,4000,54775,0.010996341705322266
Quick,4000,72962,0.04418349266052246
Insertion,4000,4034987,0.5481736660003662
Selection,4000,3989,0.2425227165222168
Merge,4000,54838,0.007993459701538086
Quick,4000,74228,0.028916120529174805
Insertion,4000,3936602,0.44944286346435547
Selection,4000,3992,0.3581960201263428
Merge,4000,54754,0.011987686157226562
Quick,4000,74606,0.055867910385131836
Insertion,4000,4064324,0.6919152736663818
Selection,4000,3987,0.30779218673706055
Merge,4000,54786,0.0073926448822021484
Quick,4000,77834,0.041053056716918945
Insertion,4000,3938556,0.6639096736907959
